appid,name,genres,tags,release_date,is_free,short_description
1510570,Toy Tinker Simulator: Prologue,Casual|Free To Play|Indie|Simulation,Simulation|Casual|Building|Realistic|Family Friendly|Relaxing|Resource Management|Free to Play|Singleplayer|3D|First-Person|Funny|Cute|Crafting|Indie|Multiplayer|Design & Illustration|Sandbox|FPS|Immersive Sim,"Jan 22, 2021",True,"Have you ever wanted to be a toy tinker? Here you can take the first step to become one! This is a tiny portion of Toy Tinker Simulator, which includes only three toys."
755530,Factorybelts 2,Casual|Indie|Simulation,Casual|Puzzle|Logic|3D|Simulation|Crafting|Level Editor|Resource Management|Building|Singleplayer|Stylized|Clicker|Indie|Early Access|Sequel,"Feb 27, 2023",False,"Conveyers, grinders, welders, ... and a factory that combines them all: that's what's waiting for you in Factorybelts 2. Factorybelts is a puzzle game where you complete a factory to produce different products out of different resources."
1571020,Underland Ambush,Action,Action|Arcade|Shooter|3D Platformer|Shoot 'Em Up|Third-Person Shooter|Cartoony|Third Person|Aliens|Comic Book|Destruction|Pirates|Sci-fi|Space|War|Combat|Score Attack|Singleplayer|Bullet Hell|Fantasy,Coming soon,False,Scifi run and gun arcade action Featuring a soundtrack provided by the cyber realms greatest composers.
2636530,Bee Craft Sweet,Simulation|Strategy,RTS|Simulation|Strategy|Cute|City Builder|Crafting|Base Building|Singleplayer|Real Time Tactics|Collectathon|Idler|2.5D|3D|Survival|Agriculture|Grid-Based Movement,"Oct 31, 2023",False,Real-time simulation game of bees Can you survive?
830560,OVERTURN: Final Operation,Action|Adventure|Free To Play,Free to Play|Action|Adventure|VR,Coming soon,True,"After the down of Beholder, MAGI is left alone and since the final fight, she lost all her abilities and is unable to fight anymore. Enemies are still coming and they shows no sign of stopping... It’s terrifying to see that there are still a huge number of enemies even many of them have been defeated before."
582220,Virtual Idea Area,Design & Illustration|Utilities,Utilities|Design & Illustration|VR,"Apr 14, 2017",False,"Virtual Idea Area brings the benefits of working digitally to whiteboards. Undo mistakes, change the color of your boards, spread your ideas over a thousand different whiteboards, ... VIA makes it all possible!"
1657200,海の世界の星追い,Casual|Indie,Casual|Puzzle|Pixel Graphics|2D Platformer|Sokoban|2D|Colorful|Top-Down|1990's|Indie|Fantasy|Controller|Singleplayer,"Jul 20, 2021",False,Shoot all stars with one shot!
3156770,Witchfire,Action|Early Access,FPS|Dark Fantasy|Extraction Shooter|Souls-like|Roguelite|Shooter|RPG|Early Access|PvE|Exploration|Action RPG|First-Person|Character Customization|Horror|Loot|Action|Controller|Singleplayer|Narration|Roguelike,"Sep 23, 2024",False,Witchfire is a first-person dark fantasy RPG shooter in which you play as a wicked sinner turned witch hunter on his final mission to reach salvation.
2257560,Kill The Climbers,Indie|Early Access,Clicker|Roguelite|Arcade|2D|Action|Casual|Pixel Graphics|Early Access|Score Attack|Old School|Indie|Combat|Singleplayer,"May 20, 2024",False,"A retro roguelite arcade game where you play as a mountain and its yeti, defending the peak from pesky climbers! Harness quick wits, skillshot-slinging abilities, and animal defenders to KILL THE CLIMBERS!"
3095380,Ninja Rift,Action|RPG|Strategy|Free To Play,PvP|Strategy RPG|Turn-Based Strategy|2D Fighter|Action RPG|Character Customization|RPG|Strategy|Turn-Based Combat|Action|Ninja|Combat|Multiplayer|Free to Play|Singleplayer,"Aug 15, 2024",True,Ninja Rift: Unleash Your Inner Warrior
2400540,The Witch’s Cookbook,Casual|Indie|Simulation,Casual|Simulation|Cooking|Magic|Immersive Sim|Spelling|3D|Colorful|Cute|Crafting|Fantasy|Funny|Conversation|Singleplayer|Sandbox|Arcade|Co-op|Intentionally Awkward Controls|Social Deduction|Indie,"Feb 27, 2024",False,"Concoct magical potions with or without the help of your community's chat. You'll experiment with different ingredients to create powerful spells, but beware - your viewers can add their own twists resulting in hilarious and unpredictable outcomes. Get ready for a chaotic and exciting experience!"
1060510,Heaven's Voice Feast of Famine,Indie|RPG,RPG|Indie|Free to Play,"May 21, 2019",True,"Action puzzle RPG with over 100 levels, 8 playable character, that drastically effect the game play and, 4 game modes."
